Season,Day_of_the_week,DHI,DNI,GHI,Wind_speed,Humidity,Temperature,PV_production,Wind_production
1,1,88.0,530.4,335.2,4.22,45.472,9.46,6864,409
1,1,0.0,0.0,0.0,3.0,69.19,3.9,0,3359
1,5,178.8,707.2,698.4,2.96,56.07,15.38,7430,1712
1,1,0.0,0.0,0.0,3.76,78.85,5.12,0,1909
1,5,0.0,0.0,0.0,3.22,78.168,8.04,4,784
1,1,0.0,0.0,0.0,3.12,74.008,11.64,14,296
1,4,0.0,0.0,0.0,2.24,67.398,8.6,0,479
1,1,0.0,0.0,0.0,3.22,78.298,4.56,0,1431
1,3,0.0,0.0,0.0,4.76,78.292,8.84,5,3265
2,5,87.0,763.2,435.4,2.62,55.69,18.54,3947,3521
1,4,0.0,0.0,0.0,1.5,78.282,8.1,0,2127
2,1,324.8,421.4,719.8,3.52,51.256,21.68,10313,2635
1,5,0.0,0.0,0.0,3.24,78.286,4.26,6,3949
1,5,0.0,0.0,0.0,2.3,67.936,11.84,0,539
2,1,0.0,0.0,0.0,0.96,71.572,15.56,139,2110
1,5,75.6,753.6,369.0,2.88,51.914,13.64,3349,839
1,3,0.0,0.0,0.0,1.48,80.126,10.76,55,275
1,6,0.0,0.0,0.0,2.38,66.246,8.96,132,1453
2,2,0.0,0.0,0.0,3.84,70.356,15.72,5,2344
1,4,0.0,0.0,0.0,2.56,82.54,8.16,0,2326
1,1,0.0,0.0,0.0,0.94,71.01,11.6,24,499
2,4,47.4,184.4,73.8,2.68,67.786,13.66,4848,3479
1,5,0.0,0.0,0.0,2.34,68.902,10.38,0,613
1,0,111.0,441.8,288.0,2.78,57.742,16.68,9964,713
1,4,10.6,34.6,11.4,2.72,65.878,7.18,164,3234
1,4,0.0,0.0,0.0,2.72,87.054,9.6,0,3238
2,6,0.0,0.0,0.0,1.56,75.618,12.48,0,3697
1,4,94.6,870.2,558.6,2.08,37.306,16.42,8144,257
1,5,45.0,514.6,168.0,1.7,63.018,12.78,2136,860
2,4,211.8,420.0,600.6,3.02,46.65,21.66,7512,1038
2,5,0.0,0.0,0.0,2.86,77.442,10.2,0,3858
2,0,156.0,597.6,562.6,2.34,50.82,21.38,6699,903
1,6,51.2,315.6,128.4,3.76,66.638,10.06,3631,2370
1,2,0.0,0.0,0.0,1.98,83.568,10.46,0,1580
1,3,88.4,885.2,587.6,3.56,40.908,11.56,8710,1750
2,5,216.6,606.2,743.4,3.74,53.526,17.82,9440,2072
